date,close,全收益收盘点位(元),市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2006/3/3,1041.677,,2.55646E+12,6.89635E+11,15.6223,0.963,14.8281,14.0238,13.466
2006/3/6,1038.873,,2.5459E+12,6.878E+11,15.5431,0.9585,14.8287,14.0246,13.466
2006/3/7,1014.973,,2.48585E+12,6.72147E+11,15.1892,0.8716,14.8287,14.0254,13.4712
2006/3/8,1009.271,,2.46057E+12,6.68388E+11,15.0374,0.8402,14.8309,14.039,13.4712
2006/3/9,1004.344,,2.45047E+12,6.65672E+11,15.0293,0.8364,14.8375,14.0526,13.4712
2006/3/10,1008.897,,2.45089E+12,6.68625E+11,15.0281,0.8326,14.8932,14.0588,13.4712
2006/3/13,1019.864,,2.4989E+12,6.7599E+11,15.3279,0.8964,14.9876,14.0651,13.4712
2006/3/14,1018.272,,2.49498E+12,6.75293E+11,15.2922,0.8834,14.9876,14.0717,13.4811
2006/3/15,1028.958,,2.52802E+12,6.82735E+11,15.488,0.9375,15.0033,14.0782,13.4811
2006/3/16,1027.616,,2.52388E+12,6.83049E+11,15.4628,0.9289,15.0081,14.0792,13.4811
2006/3/17,1024.015,,2.50684E+12,6.80681E+11,15.3592,0.8982,15.0155,14.0801,13.4811
2006/3/20,1037.659,,2.54344E+12,6.89673E+11,15.5489,0.9604,15.0216,14.0809,13.4811
2006/3/21,1040.757,,2.5476E+12,6.9183E+11,15.5544,0.9605,15.0216,14.0817,13.4817
2006/3/22,1047.666,,2.5556E+12,6.96261E+11,15.6277,0.9651,15.025,14.0821,13.4817
2006/3/23,1048.537,,2.56379E+12,6.97054E+11,15.6811,0.9783,15.0281,14.0825,13.4817
2006/3/24,1042.601,,2.5528E+12,6.93163E+11,15.6187,0.9524,15.0293,14.0829,13.4817
2006/3/27,1050.707,,2.55479E+12,6.98817E+11,15.757,0.9828,15.0374,14.0832,13.4817
2006/3/28,1055.982,,2.55585E+12,7.02342E+11,15.7836,0.9957,15.0374,14.0901,13.5062
2006/3/29,1065.294,,2.56927E+12,7.08485E+11,15.8467,1,15.0422,14.0969,13.5062
2006/3/30,1055.634,,2.54702E+12,7.02291E+11,15.6741,0.9617,15.0478,14.1027,13.5062
2006/3/31,1061.088,,2.54206E+12,7.06054E+11,15.6409,0.9492,15.0712,14.1084,13.5062
2006/4/3,1079.322,,2.57304E+12,7.18132E+11,15.3912,0.8692,15.0978,14.1141,13.5062
2006/4/4,1089.371,,2.58779E+12,7.25129E+11,15.4812,0.8908,15.0978,14.1197,13.5079
2006/4/5,1099.97,,2.6044E+12,7.31729E+11,15.5806,0.9289,15.1027,14.1198,13.5079
2006/4/6,1103.237,,2.60613E+12,7.34025E+11,15.5909,0.9292,15.1337,14.1199,13.5079
2006/4/7,1103.154,,2.60361E+12,7.34034E+11,15.5734,0.9212,15.1892,14.1205,13.5079
2006/4/10,1117.91,,2.62945E+12,7.43677E+11,15.7375,0.9711,15.2315,14.1212,13.5079
2006/4/11,1123.308,,2.6367E+12,7.47152E+11,15.7643,0.9877,15.2315,14.1243,13.5155
2006/4/12,1117.073,,2.62511E+12,7.43081E+11,15.7193,0.9631,15.26,14.1273,13.5155
2006/4/13,1093.925,,2.58035E+12,7.27641E+11,15.5664,0.9061,15.2697,14.1277,13.5155
2006/4/14,1118.607,,2.63336E+12,7.43901E+11,15.8893,1,15.2922,14.128,13.5155
2006/4/17,1124.414,,2.66958E+12,7.47533E+11,16.1709,1,15.3013,14.1466,13.5155
2006/4/18,1131.281,,2.68546E+12,7.52796E+11,15.9193,0.996,15.3013,14.1653,13.528
2006/4/19,1138.241,,2.69763E+12,7.57573E+11,16.0001,0.996,15.3048,14.1796,13.528
2006/4/20,1134.381,,2.67611E+12,7.55026E+11,16.0185,0.996,15.3279,14.194,13.528
2006/4/21,1149.158,,2.71932E+12,7.61962E+11,16.7528,1,15.3282,14.1963,13.528
2006/4/24,1142.698,,2.68554E+12,7.54185E+11,16.8455,1,15.3381,14.1985,13.528
2006/4/25,1141.93,,2.66495E+12,7.53912E+11,16.9622,1,15.3381,14.1991,13.5298
2006/4/26,1155.726,,2.69279E+12,7.62186E+11,17.2361,1,15.3592,14.1996,13.5298
2006/4/27,1155.268,,2.68987E+12,7.62002E+11,17.3073,1,15.3845,14.2019,13.5298
2006/4/28,1172.347,,2.73157E+12,7.73199E+11,17.5735,1,15.3897,14.2042,13.5298
2006/5/8,1218.445,,2.84927E+12,8.03821E+11,18.7074,1,15.3912,14.214,13.5298
2006/5/9,1251.611,,2.91102E+12,8.25524E+11,19.1259,1,15.3912,14.2239,13.5388
